UF;Sigla;Ano;Total;Homens;Mulheres;NASCIMENTOS;ÓBITOS;SALDO MIGRATÓRIO Interno (1);Internac.;Total;Exp Vd Ambos;Exp Homens;Exp Mulheres;Mort Inf Ambos;Mort Homens;Mort Mulheres
Rondonia;RO;2010;1.598.634;814.371;784.263;26.917;9.635;2.539;0;2.539;70,11;67,04;73,79;22,75;24,40;21,01
Rondonia;RO;2011;1.618.210;823.690;794.520;26.618;9.788;2.501;0;2.501;70,32;67,25;73,99;22,24;23,80;20,59
Rondonia;RO;2012;1.637.884;833.047;804.837;27.518;9.965;2.463;0;2.463;70,53;67,46;74,19;21,75;23,23;20,18
Rondonia;RO;2013;1.657.620;842.425;815.195;27.176;10.145;2.424;0;2.424;70,74;67,66;74,39;21,27;22,69;19,78
Rondonia;RO;2014;1.677.766;852.003;825.763;28.794;10.344;2.386;0;2.386;70,94;67,86;74,58;20,82;22,18;19,39
Rondonia;RO;2015;1.698.263;861.751;836.512;28.352;10.542;2.348;0;2.348;71,14;68,06;74,77;20,38;21,68;19,01
Rondonia;RO;2016;1.717.911;871.055;846.856;27.557;10.727;2.310;0;2.310;71,34;68,25;74,96;19,96;21,21;18,64
Rondonia;RO;2017;1.737.578;880.360;857.218;28.859;10.938;2.272;0;2.272;71,53;68,44;75,14;19,55;20,75;18,29
Rondonia;RO;2018;1.757.589;889.834;867.755;28.762;11.166;2.233;0;2.233;71,72;68,63;75,32;19,17;20,32;17,94
Rondonia;RO;2019;1.777.225;899.108;878.117;28.634;11.386;2.195;0;2.195;71,91;68,82;75,50;18,79;19,91;17,61
Rondonia;RO;2020;1.796.460;908.169;888.291;28.488;11.617;2.156;0;2.156;72,09;69,00;75,67;18,43;19,51;17,28
Rondonia;RO;2021;1.815.278;917.011;898.267;28.345;11.855;2.118;0;2.118;72,27;69,18;75,84;18,08;19,13;16,97
Rondonia;RO;2022;1.833.642;925.615;908.027;28.144;12.106;2.080;0;2.080;72,45;69,35;76,01;17,74;18,77;16,66
Rondonia;RO;2023;1.851.491;933.950;917.541;27.903;12.365;2.041;0;2.041;72,62;69,53;76,18;17,42;18,42;16,37
Rondonia;RO;2024;1.868.787;941.998;926.789;27.643;12.632;2.003;0;2.003;72,79;69,70;76,34;17,11;18,08;16,08
Rondonia;RO;2025;1.885.507;949.747;935.760;27.372;12.911;1.965;0;1.965;72,96;69,86;76,49;16,81;17,76;15,81
Rondonia;RO;2026;1.901.627;957.185;944.442;27.084;13.197;1.927;0;1.927;73,13;70,03;76,65;16,52;17,45;15,54
Rondonia;RO;2027;1.917.130;964.305;952.825;26.801;13.498;1.889;0;1.889;73,29;70,19;76,80;16,25;17,16;15,28
Rondonia;RO;2028;1.932.010;971.104;960.906;26.527;13.809;1.850;0;1.850;73,44;70,35;76,95;15,98;16,88;15,03
Rondonia;RO;2029;1.946.272;977.584;968.688;26.274;14.130;1.812;0;1.812;73,60;70,51;77,09;15,72;16,60;14,79
Rondonia;RO;2030;1.959.925;983.752;976.173;26.040;14.464;1.774;0;1.774;73,75;70,66;77,23;15,47;16,34;14,56
Rondonia;RO;2031;1.972.968;989.612;983.356;25.769;14.807;1.774;0;1.774;73,90;70,81;77,37;15,23;16,09;14,33
Rondonia;RO;2032;1.985.411;995.172;990.239;25.537;15.160;1.774;0;1.774;74,05;70,96;77,51;15,01;15,85;14,12
Rondonia;RO;2033;1.997.286;1.000.450;996.836;25.350;15.524;1.774;0;1.774;74,19;71,10;77,64;14,79;15,62;13,91
Rondonia;RO;2034;2.008.616;1.005.458;1.003.158;25.182;15.896;1.774;0;1.774;74,33;71,24;77,77;14,58;15,40;13,71
Rondonia;RO;2035;2.019.409;1.010.201;1.009.208;25.029;16.278;1.774;0;1.774;74,47;71,38;77,90;14,38;15,19;13,51
Rondonia;RO;2036;2.029.651;1.014.672;1.014.979;24.851;16.666;1.774;0;1.774;74,60;71,52;78,02;14,18;14,99;13,32
Rondonia;RO;2037;2.039.343;1.018.872;1.020.471;24.709;17.059;1.774;0;1.774;74,74;71,65;78,15;13,99;14,79;13,14
Rondonia;RO;2038;2.048.511;1.022.816;1.025.695;24.600;17.461;1.774;0;1.774;74,87;71,78;78,26;13,80;14,60;12,96
Rondonia;RO;2039;2.057.168;1.026.512;1.030.656;24.498;17.869;1.774;0;1.774;74,99;71,91;78,38;13,63;14,42;12,80
Rondonia;RO;2040;2.065.315;1.029.962;1.035.353;24.397;18.279;1.774;0;1.774;75,12;72,03;78,49;13,46;14,25;12,63
Rondonia;RO;2041;2.072.942;1.033.163;1.039.779;24.281;18.693;1.774;0;1.774;75,24;72,16;78,61;13,30;14,08;12,48
Rondonia;RO;2042;2.080.046;1.036.115;1.043.931;24.185;19.114;1.774;0;1.774;75,36;72,28;78,71;13,15;13,92;12,33
Rondonia;RO;2043;2.086.640;1.038.825;1.047.815;24.102;19.534;1.774;0;1.774;75,48;72,39;78,82;13,00;13,77;12,18
Rondonia;RO;2044;2.092.729;1.041.297;1.051.432;24.014;19.952;1.774;0;1.774;75,59;72,51;78,92;12,85;13,62;12,04
Rondonia;RO;2045;2.098.307;1.043.530;1.054.777;23.917;20.372;1.774;0;1.774;75,70;72,62;79,03;12,71;13,48;11,90
Rondonia;RO;2046;2.103.370;1.045.523;1.057.847;23.823;20.789;1.774;0;1.774;75,81;72,73;79,12;12,58;13,35;11,77
Rondonia;RO;2047;2.107.922;1.047.279;1.060.643;23.728;21.205;1.774;0;1.774;75,91;72,84;79,22;12,45;13,22;11,65
Rondonia;RO;2048;2.111.959;1.048.796;1.063.163;23.624;21.620;1.774;0;1.774;76,01;72,94;79,32;12,33;13,09;11,53
Rondonia;RO;2049;2.115.477;1.050.073;1.065.404;23.510;22.027;1.774;0;1.774;76,11;73,05;79,41;12,21;12,97;11,41
Rondonia;RO;2050;2.118.474;1.051.112;1.067.362;23.389;22.427;1.774;0;1.774;76,21;73,15;79,50;12,10;12,86;11,30
Rondonia;RO;2051;2.120.952;1.051.915;1.069.037;23.274;22.827;1.774;0;1.774;76,31;73,24;79,59;11,99;12,75;11,19
Rondonia;RO;2052;2.122.916;1.052.485;1.070.431;23.151;23.217;1.774;0;1.774;76,40;73,34;79,67;11,88;12,64;11,09
Rondonia;RO;2053;2.124.363;1.052.821;1.071.542;23.015;23.604;1.774;0;1.774;76,49;73,43;79,75;11,78;12,54;10,99
