tipo,qtd,media,desvio,mediana,valor_max,valor_min,cv
Casa da Mulher Brasileira,7,8108797.432857143,463247.5547688907,8082857.59,8821618.45,7463368.69,5.712900816732636
Centro de Iniciação ao Esporte,225,3754487.2793777776,470623.2389954668,3783357,5685991,2967102,12.534953616182237
Educação,3,116666666.66666667,28867513.459481288,100000000,150000000,100000000,24.743582965269674
Centro de Artes e Esportes Unificados,376,2372720.0714095742,708096.3358435055,2116416.0700000003,6924316.46,674335.13,29.843231166449524
Quadras Esportivas nas Escolas,7707,404518.3529881926,141541.56118983205,499754.04,634527.33,88122.52,34.990145723737655
Creches e Pré Escolas,4358,1361316.9037586048,489234.26321577834,1329734.49,10114096.57,522884.46,35.9383081092286
UPA,415,2079350.4346987952,774793.0446083033,2200000,4000000,35700,37.26130197580362
Ciencia e Tecnologia,3,1166916666.6666667,549794963.8122683,1468420000,1500000000,532330000,47.115186501087045
Cidades Digitais,87,772129.3154022988,413378.0078658083,684848.87,1980602.66,229836.98,53.53740618570193
Combustíveis Renováveis,2,15500000,10861160.15902537,15500000,23180000,7820000,70.07200102597012
Olimpíadas,32,89370056.011875,69226055.21115607,62252901.385000005,215000000,3140000,77.46001099289643
UBS,13985,417687.0648702181,377180.59484927467,273390,2613333.33,10230,90.30219668556664
MCMV,27,3175736556.693333,2974779073.8367033,2274469261.08,13459643573.65,262098722.09,93.67209844805664
Porto,67,111258843.63477612,149846959.64829594,45566686,590000000,310000,134.68318989561956
Cidades Históricas,330,4037944.242060606,5598946.61312247,2311009.025,60000000,63674.86,138.65834388701882
Ferrovia,42,624682646.3569047,1009965386.1649495,168314020.615,4602700000,4000000,161.6765556166768
Rodovias,460,305332933.1024565,499358077.6685894,102826814.27000001,4699255814.9,872767.82,163.54543631918884
Transmissão de Energia Elétrica,167,102129245.50898203,178535068.90937558,52094000,1799488000,1280000,174.81287364810098
Prevenção em áreas de risco,574,33179150.107665505,60088500.15268147,10144733.64,376369555.04,75000,181.10319269087907
Luz para Todos,86,132603716.93697675,251982536.09147352,48295000,1381900000,236504.05,190.0267518226767
Pavimentação,612,13845445.827728758,29086747.47487964,5692939.5,418906698.73,95433.46,210.08169644220916
Infraestrutura Turística,42,14698464.153095238,31124981.364519253,614573.6,159999999.99,244767.4,211.7566913136627
Marinha Mercante,58,707901447.7756897,1582945408.4418752,157347859.425,10480270000,4790000,223.61098616420088
Financiamento SBPE,54,7838921621.674629,21253952845.298546,2065006431,150096114637.84,36853900,271.13363127054794
Mobilidade Urbana,169,601189148.53929,2020319326.5769987,153687074.45,21529215072.31,6853347,336.0538578392127
Petróleo e Gás Natural,171,5834444016.269006,20607808755.245712,725412250,246257800000,2298000,353.20946945042306
Hidrovia,59,88437620.77966101,402986637.15585375,12510000,3056293000,370000,455.67331369065175
Aeroporto,114,202729953.50903508,957983242.4544487,16020000,8720000000,250000,472.5415390635672
Saneamento,7613,9467010.126474451,50149988.388703145,775498.02,2614110856.99,37.62,529.7341792046776
Estradas Vicinais,5219,1946273.549520981,11001496.521271223,805900,349710000,174000,565.259519864457
Geração de Energia Elétrica,630,265929279.36507937,1759088276.140502,102940000,28861480000,50000,661.4872496704467
Água em áreas urbanas,1441,2435968.2499514227,16678547.134558387,231400.4,396579628,67.12,684.6783464805416
Urbanização de assentamentos precários,3418,10911551.039763018,80628632.58150586,274539.35,3597141302,7280.8,738.9291612868357
Recursos Hídricos,2149,11579881.547431363,91781363.18048379,592319.15,2112565214.3,268,792.5932817580732
Saúde,1,149950542,NA,149950542,149950542,149950542,NA
